dir_00,dir_01,dir_02,dir_03,dir_04
https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_00_F2.8_align_whitebal/0017_center_IMG_8206.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_01_bokehme_dfs20_K40_dispfocus0.15/0017_center_frame_0003.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_02_drbokeh_K15_fp0.3/0017_center_IMG_8214.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_03_demo/0017_center_IMG_8214_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_04_bokehlicious_fl_60_A_7_intp/0017_center_net_large_f7.0_IMG_8214.png
https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_00_F2.8_align_whitebal/0031_center_IMG_4381.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_01_bokehme_dfs20_K40_dispfocus0.15/0031_center_frame_0011.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_02_drbokeh_K15_fp0.3_ls71/0031_center_IMG_4389.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_03_demo/0031_center_IMG_4389_20.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_04_bokehlicious_F7_intp/0031_center_net_large_f7.0_IMG_4389.png
https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_00_F2.8_align_whitebal/0033_center_IMG_9755.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_01_bokehme_dfs20_K40_dispfocus0.15/0033_center_frame_0015.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_02_drbokeh_K15_fp0.3/0033_center_IMG_9763.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_03_demo/0033_center_IMG_9763_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_04_bokehlicious_fl_70_A_10_intp/0033_center_net_large_f10.0_IMG_9763.png
https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_00_F2.8_align_whitebal/0020_center_IMG_9694.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_01_bokehme_dfs20_K40_dispfocus0.15/0020_center_frame_0002.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_02_drbokeh_K15_fp0.3/0020_center_IMG_9702.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_03_demo/0020_center_IMG_9702_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_70/dir_04_bokehlicious_fl_70_A_10_intp/0020_center_net_large_f10.0_IMG_9702.png
https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_45/dir_00_F2.8_align_whitebal/0012_bottom_left_IMG_7923.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_45/dir_01_bokehme_dfs20_K40_dispfocus0.15/0012_bottom_left_frame_0012.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_45/dir_02_drbokeh_K15_fp0.3/0012_bottom_left_IMG_7915.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_45/dir_03_demo/0012_bottom_left_IMG_7915_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_45/dir_04_bokehlicious_fl_45_A_13_intp/0012_bottom_left_net_large_f13.0_IMG_7915.png
https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_00_F2.8_align_whitebal/0020_center_IMG_4338.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_01_bokehme_dfs20_K40_dispfocus0.15/0020_center_frame_0000.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_02_drbokeh_K15_fp0.3_ls71/0020_center_IMG_4330.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_03_demo/0020_center_IMG_4330_20.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_60/dir_04_bokehlicious_F7_intp/0020_center_net_large_f7.0_IMG_4330.png
https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_00_F2.8_align_whitebal/0021_center_IMG_8226.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_01_bokehme_dfs20_K40_dispfocus0.15/0021_center_frame_0007.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_02_drbokeh_K15_fp0.3/0021_center_IMG_8234.png,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_03_demo/0021_center_IMG_8234_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene3/fl_60/dir_04_bokehlicious_fl_60_A_7_intp/0021_center_net_large_f7.0_IMG_8234.png
https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_70/dir_00_F2.8_align_whitebal/0035_center_IMG_4681.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_70/dir_01_bokehme_dfs20_K40_dispfocus0.15/0035_center_frame_0013.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_70/dir_02_drbokeh_K15_fp0.3_ls71/0035_center_IMG_4673.png,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_70/dir_03_demo/0035_center_IMG_4673_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene1/fl_70/dir_04_bokehlicious_F10_intp/0035_center_net_large_f10.0_IMG_4673.png
https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_45/dir_00_F2.8_align_whitebal/0032_center_IMG_9169.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_45/dir_01_bokehme_dfs20_K40_dispfocus0.15/0032_center_frame_0014.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_45/dir_02_drbokeh_K15_fp0.3/0032_center_IMG_9177.png,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_45/dir_03_demo/0032_center_IMG_9177_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene8/fl_45/dir_04_bokehlicious_fl_45_A_13_intp/0032_center_net_large_f13.0_IMG_9177.png
https://f004.backblazeb2.com/file/dof-mos/Scene5/fl_36/dir_00_F2.8_align_whitebal/0012_bottom_left_IMG_6663.png,https://f004.backblazeb2.com/file/dof-mos/Scene5/fl_36/dir_01_bokehme_dfs20_K40_dispfocus0.15/0012_bottom_left_frame_0012.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene5/fl_36/dir_02_drbokeh_K15_fp0.3/0012_bottom_left_IMG_6655.png,https://f004.backblazeb2.com/file/dof-mos/Scene5/fl_36/dir_03_demo/0012_bottom_left_IMG_6655_15.0_-0.42.jpg,https://f004.backblazeb2.com/file/dof-mos/Scene5/fl_36/dir_04_bokehlicious_fl_36_A_20_intp/0012_bottom_left_net_large_f20.0_IMG_6655.png
